,Country,Region,Population (2021),PMS Rating,McManus (2020) Studies,Kelesidis (2015) Studies,Ozawa (2017) Studies,Total Studies,Total Samples,Total Defective,Weighted Prevalence,Country Code,Aid,CPIA Budgeting,CPIA Administration,CPIA Corruption,Government Expenditure,GDP,Infectious Disease,HIV Adults,HIV Children,Malaria,Healthcare Expenditure,Population,Urban Population,HIV Rate,HPV Vacinnation Rate,Mortality Rate,Healthcare Expenditure Total
0,Algeria,Northern Africa,43851044,0,0,0,0,0,0,0,,DZA,1.1902889477675045,,,,683.4701938130067,3812.84834775419,12.9844112787695,3.252472932610496e-05,4.64638990372928e-06,0.0,742.719573975,43044170.666666664,73.18366666666667,0.03,,3.4566963612537456,31969748099.65386
1,Angola,Central Africa,36910560,1,1,4,6,0,0,0,,AGO,1.187103616840679,,,,266.9023274126195,2625.1456503511267,59.1622729537789,0.0005026106750277069,0.00019685584771918522,228.90895026311,183.26576996,31833784.666666668,66.17200000000001,1.264,,17.43596430658888,5834043057.677509
2,Benin,Western Africa,12123200,0,2,0,1,0,0,0,,BEN,5.78321274062959,3.5,3.0,3.5,134.35315107323726,1250.7939253776801,51.8319985999825,0.00014402961655588247,7.286204131650525e-05,386.182366880031,81.53438568499999,11803128.0,47.86266666666666,0.5599999999999999,,20.52216939746274,962360790.6414225
3,Botswana,Southern Africa,2351627,2,0,1,0,0,0,0,,BWA,1.3546772464331602,,,,2237.701947479079,7037.280913728439,44.9044531753364,0.0036761539903276625,0.0002170957080902163,0.588195537877718,1100.1674194299999,2303131.6666666665,70.165,1.4700000000000002,64.0,7.7040733254977996,2533830422.324181
4,Burkina Faso,Western Africa,20903273,4,0,1,4,2,38,4,0.1061,BFA,8.35310508222162,3.6666666666666665,3.1666666666666665,3.5,152.56491858160052,819.516158099805,54.1048280089536,4.91995826497803e-05,6.067948526806236e-05,398.73369399517,114.98791503999999,20325375.666666668,29.981666666666666,0.372,,18.6038344873618,2337172570.31475
5,Burundi,Eastern Africa,11890784,0,0,1,0,0,0,0,,BDI,6.914958390314488,2.5,2.5,1.5,66.83139204747643,235.32926070696533,51.1748058045556,8.671337993522337e-05,8.237771093846221e-05,250.27249635113,63.055938725,11532245.666666666,13.368666666666668,0.47400000000000003,,21.52874323391634,727176576.11898
6,Cabo Verde,Western Africa,555987,2,0,0,0,0,0,0,,CPV,33.67909651600239,3.6666666666666665,4.0,4.5,637.0131639579841,3428.17072216998,15.8291786031253,,,0.0141464725770629,369.99066161999997,549896.0,66.193,,,2.110439907687956,203456384.8621915
7,Cameroon,Central Africa,26545863,0,1,4,7,1,219,15,0.068,CMR,3.1393570273441873,3.5,3.0,2.6666666666666665,188.0407956156437,1551.8221469536932,51.8162254693138,0.0004353509505694802,0.00017517079667884412,246.989591359322,132.072875975,25879504.0,56.967333333333336,1.136,,23.7525468872359,3417980522.086516
8,Central African Republic,Central Africa,4829767,0,0,2,1,0,0,0,,CAF,25.6071807482898,2.5,2.5,2.5,46.899895468264944,478.885905778867,59.061166797196,,,347.326993651389,93.13375854,4747106.0,41.77733333333333,,,28.982637613628942,442115823.96778524
9,Chad,Central Africa,16425864,0,0,2,2,0,0,0,,TCD,8.161675679233207,2.8333333333333335,2.5,2.5,27.551059235592952,698.3203650803267,63.4475184752633,0.00016927734123728947,7.105468644528199e-05,164.831958202916,67.71855545,15950156.0,23.286,0.48199999999999993,,25.206217653635118,1080121523.52215
