Country,Rating
Algeria,1
Angola,6
Benin,1
Botswana,9
Burkina Faso,13
Burundi,6
Cabo Verde,6
Cameroon,0
Central African Republic,0
Chad,2
Comoros,0
Congo,0
Côte d’Ivoire,13
DR Congo,7
Djibouti,0
Egypt,1
Equatorial Guinea,2
Eritrea,0
Ethiopia,13
Gabon,1
Gambia,3
Ghana,12
Republic of Guinea,5
Guinea Bissau,4
Kenya,13
Lesotho,1
Liberia,6
Libya,0
Madagascar,7
Malawi,8
Mali,6
Mauritania,0
Mauritius,8
Morocco,9
Mozambique,8
Namibia,8
Niger,5
Nigeria,11
Rwanda,8
Sahrawi Republic,0
São Tomé and Príncipe,1
Senegal,9
Seychelles,1
Sierra Leone,9
Somalia,1
South Africa,12
South Sudan,1
Sudan,10
Swaziland,5
Togo,6
Tunisia,2
Uganda,13
UR of Tanzania,13
Zambia,12
Zimbabwe,13
